Threads,Duration,Total_Operations,Successful_Operations,Insert_Success,Delete_Success,Contains_Success,Throughput
64,1.04,2776380,85549,0.025033,0.007879,0.034361,2672142.250000
64,1.00,3025500,63072,0.015389,0.000433,0.024058,3023582.000000
64,1.00,3045835,63900,0.015274,0.000328,0.024253,3043767.250000
