Threads,Duration,Total_Operations,Successful_Operations,Insert_Success,Delete_Success,Contains_Success,Throughput
16,1.00,894078,34567,0.074770,0.009088,0.037828,891792.437500
16,1.00,925523,27880,0.062994,0.002493,0.029444,925234.812500
16,1.00,985203,30507,0.062921,0.002628,0.030492,985058.312500
