Threads,Duration,Total_Operations,Successful_Operations,Insert_Success,Delete_Success,Contains_Success,Throughput
16,1.00,279212,66847,0.822772,0.174863,0.174896,278421.843750
16,1.00,292317,72219,0.812887,0.184791,0.184509,292199.625000
16,1.00,290532,71511,0.814052,0.183636,0.183435,289460.406250
