Threads,Duration,Total_Operations,Successful_Operations,Insert_Success,Delete_Success,Contains_Success,Throughput
8,1.00,185576,35919,0.881236,0.114784,0.118039,184658.906250
8,1.00,189838,36877,0.880102,0.115796,0.118917,189783.406250
8,1.00,172966,32360,0.891325,0.106575,0.109935,172910.140625
